prop,model,target,n_target,method,k,coverage,width_sd,frac_inf,cov_inside,cov_outside,cov_source_test,ess_c1,n_cal_source
clay.tot,plsr,KSSL.SSL,50007,C0,0,0.6006,2.3677,0.0,0.6199,0.5185,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C1,0,0.783,3.0627,0.0,,,0.9252,188.2,1284
clay.tot,plsr,KSSL.SSL,50007,C2,10,0.9049,4.6147,0.0,0.9105,0.8815,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C3,10,0.8904,3.1204,0.0,0.9013,0.8442,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C2,25,0.9211,4.5742,0.0,0.9254,0.9025,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C3,25,0.9113,2.8642,0.0,0.9135,0.9018,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C2,50,0.893,3.9867,0.0,0.8983,0.8701,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C3,50,0.8869,2.3682,0.0,0.8892,0.877,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C2,100,0.8984,4.0372,0.0,0.9027,0.8804,0.9252,,1284
clay.tot,plsr,KSSL.SSL,50007,C3,100,0.9059,2.699,0.0,0.9111,0.8841,0.9252,,1284
clay.tot,hgb,KSSL.SSL,50007,C0,0,0.6738,2.0826,0.0,0.7134,0.5056,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C1,0,0.8165,2.7865,0.0,,,0.8956,188.2,1284
clay.tot,hgb,KSSL.SSL,50007,C2,10,0.9049,3.9773,0.0,0.9252,0.8187,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C3,10,0.8949,2.7969,0.0,0.9036,0.858,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C2,25,0.9335,4.1544,0.0,0.9516,0.8564,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C3,25,0.9256,2.9784,0.0,0.9368,0.8781,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C2,50,0.9166,3.5572,0.0,0.9391,0.8208,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C3,50,0.9052,2.6116,0.0,0.9183,0.8496,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C2,100,0.9117,3.5127,0.0,0.936,0.8085,0.8956,,1284
clay.tot,hgb,KSSL.SSL,50007,C3,100,0.9086,2.6688,0.0,0.9224,0.8495,0.8956,,1284
clay.tot,plsr,ICRAF.ISRIC,3738,C0,0,0.3705,0.9035,0.0,0.2963,0.5125,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C1,0,0.8302,1.8507,0.0,,,0.896,89.0,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C2,10,0.8775,2.1689,0.0,0.8559,0.919,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C3,10,0.8929,2.1419,0.0,0.9251,0.8312,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C2,25,0.9158,2.3341,0.0,0.9006,0.9449,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C3,25,0.9297,2.059,0.0,0.9607,0.8704,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C2,50,0.9022,2.298,0.0,0.8844,0.9364,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C3,50,0.8927,1.7631,0.0,0.9328,0.8161,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C2,100,0.8953,2.2464,0.0,0.876,0.9323,0.896,,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C3,100,0.9,1.7414,0.0,0.9398,0.8239,0.896,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C0,0,0.4074,0.8275,0.0,0.3544,0.5086,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C1,0,0.7718,1.6311,0.0,,,0.903,89.0,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C2,10,0.8885,2.2813,0.0,0.8839,0.8972,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C3,10,0.8859,2.1847,0.0,0.9272,0.8068,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C2,25,0.9236,2.6947,0.0,0.9238,0.9232,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C3,25,0.9429,2.5843,0.0,0.9793,0.8733,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C2,50,0.9044,2.3289,0.0,0.9038,0.9054,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C3,50,0.9104,2.1835,0.0,0.9583,0.8188,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C2,100,0.9039,2.298,0.0,0.9043,0.903,0.903,,10538
clay.tot,hgb,ICRAF.ISRIC,3738,C3,100,0.9023,2.0286,0.0,0.9542,0.8032,0.903,,10538
clay.tot,plsr,AFSIS1.SSL,1896,C0,0,0.3399,0.836,0.0,0.49,0.1505,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C1,0,0.4839,1.1426,0.0,,,0.8883,86.5,10906
clay.tot,plsr,AFSIS1.SSL,1896,C2,10,0.8846,3.1124,0.0,0.9644,0.7837,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C3,10,0.881,2.3802,0.0,0.9281,0.8214,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C2,25,0.9125,2.8988,0.0,0.9862,0.8194,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C3,25,0.9231,2.2956,0.0,0.9513,0.8874,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C2,50,0.8885,2.6213,0.0,0.9879,0.763,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C3,50,0.8991,1.8109,0.0,0.94,0.8476,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C2,100,0.9024,2.722,0.0,0.9921,0.7894,0.8883,,10906
clay.tot,plsr,AFSIS1.SSL,1896,C3,100,0.9059,1.8659,0.0,0.9359,0.8681,0.8883,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C0,0,0.2727,0.732,0.0,0.4031,0.1081,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C1,0,0.3712,0.9532,0.0,,,0.892,86.5,10906
clay.tot,hgb,AFSIS1.SSL,1896,C2,10,0.8593,2.5016,0.0,0.9842,0.7015,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C3,10,0.8767,2.3716,0.0,0.9428,0.7928,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C2,25,0.9109,2.8932,0.0,0.9946,0.8054,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C3,25,0.9438,2.3707,0.0,0.9584,0.9254,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C2,50,0.9041,2.8485,0.0,0.9953,0.7891,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C3,50,0.9131,2.0339,0.0,0.9364,0.8837,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C2,100,0.9021,2.8112,0.0,0.9959,0.784,0.892,,10906
clay.tot,hgb,AFSIS1.SSL,1896,C3,100,0.9058,1.9211,0.0,0.9268,0.8794,0.892,,10906
