method,k,kapsama_medyan,kapsama_min,genislik_medyan,sonsuz_oran,kapsama_ici,kapsama_disi,hucre
C0,0,0.745,0.273,1.406,0.0,0.795,0.575,42
C1,0,0.833,0.32,1.717,0.108,,,42
C2,10,0.904,0.845,2.619,0.0,0.913,0.868,42
C2,25,0.923,0.881,2.75,0.0,0.93,0.884,42
C2,50,0.899,0.868,2.313,0.0,0.911,0.848,42
C2,100,0.901,0.878,2.272,0.0,0.909,0.846,42
C3,10,0.895,0.858,2.376,0.0,0.913,0.854,42
C3,25,0.922,0.89,2.188,0.0,0.937,0.891,42
C3,50,0.9,0.866,1.874,0.0,0.915,0.843,42
C3,100,0.902,0.881,1.823,0.0,0.92,0.844,42
