prop,model,target,n_target,method,k,coverage,coverage_sd,width_sd,frac_inf,cov_inside,cov_outside,frac_outside_target,cov_source_test,cov_source_test_norm,ess_c1,n_train,n_cal_source
clay.tot,plsr,KSSL.SSL,50007,C0,0,0.6054,0.0001,2.3803,0.0,0.6276,0.5115,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C0n,0,0.741,0.0001,3.0003,0.0,0.722,0.8213,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C1,0,0.7548,0.0001,2.9454,0.0,0.7717,0.6832,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C0w,0,0.7549,0.0001,2.9454,0.0,0.7718,0.6832,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C2,10,0.9024,0.0868,4.7075,0.0,0.9089,0.8751,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3,10,0.8869,0.0965,3.1425,0.0,0.8979,0.8402,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3n,10,0.9027,0.0525,3.8885,0.0,0.8987,0.9195,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C2,25,0.9262,0.0486,4.7057,0.0,0.9308,0.9067,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3,25,0.9077,0.0472,2.669,0.0,0.9101,0.8975,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3n,25,0.9098,0.0484,3.605,0.0,0.9014,0.9455,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C2,50,0.8966,0.0386,4.1037,0.0,0.9024,0.8722,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3,50,0.8805,0.0527,2.2985,0.0,0.8828,0.8705,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3n,50,0.902,0.044,3.24,0.0,0.8916,0.9459,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C2,100,0.8993,0.0227,4.052,0.0,0.9041,0.8789,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3,100,0.903,0.0277,2.5907,0.0,0.9081,0.8817,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,plsr,KSSL.SSL,50007,C3n,100,0.9034,0.0319,3.235,0.0,0.8928,0.9479,0.1913,0.9206,0.8972,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C0,0,0.756,0.0001,2.2526,0.0,0.8007,0.5671,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C0n,0,0.799,0.0001,2.6928,0.0,0.8173,0.7217,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C1,0,0.8549,0.0001,2.8103,0.0,0.8916,0.6995,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C0w,0,0.855,0.0001,2.8103,0.0,0.8918,0.6996,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C2,10,0.9032,0.1044,3.46,0.0,0.9264,0.8053,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3,10,0.881,0.1161,2.7858,0.0,0.8952,0.8209,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3n,10,0.9194,0.0703,4.4012,0.0,0.9207,0.9141,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C2,25,0.9285,0.0616,3.7072,0.0,0.95,0.8376,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3,25,0.9213,0.0556,3.1324,0.0,0.9327,0.8728,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3n,25,0.9293,0.0367,3.515,0.0,0.9311,0.9213,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C2,50,0.9026,0.0423,3.2515,0.0,0.9314,0.7809,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3,50,0.9065,0.0365,2.641,0.0,0.9196,0.8514,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3n,50,0.9012,0.0287,2.9831,0.0,0.9014,0.9007,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C2,100,0.9029,0.0293,3.1798,0.0,0.9324,0.7781,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3,100,0.9047,0.0277,2.6563,0.0,0.9183,0.8472,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,hgb,KSSL.SSL,50007,C3n,100,0.9061,0.0242,3.016,0.0,0.9055,0.9083,0.1913,0.919,0.9019,187.3,3854,1284
clay.tot,plsr,ICRAF.ISRIC,3738,C0,0,0.354,0.0013,0.8885,0.0,0.2844,0.4898,0.3387,0.8962,0.8975,88.8,31615,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C0n,0,0.7346,0.0009,1.9196,0.0,0.6645,0.8717,0.3387,0.8962,0.8975,88.8,31615,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C1,0,0.7292,0.0012,1.6481,0.0,0.683,0.8194,0.3387,0.8962,0.8975,88.8,31615,10538
clay.tot,plsr,ICRAF.ISRIC,3738,C0w,0,0.7203,0.0014,1.6481,0.0,0.6737,0.8113,0.3387,0.8962,0.8975,88.8,31615,10538
