prop,model,target,n_target,method,k,coverage,coverage_sd,width_sd,frac_inf,cov_inside,cov_outside,frac_outside_target,cov_source_test,cov_source_test_norm,ess_c1,n_train,n_cal_source
clay.tot,plsr,LUCAS.SSL,22650,C0,0,0.8988,0.0001,3.3021,0.0,0.8952,0.9266,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C0n,0,0.7138,0.0002,1.8563,0.0,0.6934,0.8742,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C1,0,0.8471,0.0001,2.7216,0.0,0.8411,0.8939,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C0w,0,0.8476,0.0001,2.7216,0.0,0.8417,0.8939,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C2,10,0.8776,0.1231,3.5726,0.0,0.8733,0.9116,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3,10,0.8751,0.1147,3.0804,0.0,0.8697,0.9178,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3n,10,0.9046,0.1059,5.2725,0.0,0.8977,0.9592,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C2,25,0.9116,0.0645,3.7016,0.0,0.9087,0.9342,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3,25,0.9154,0.0512,2.944,0.0,0.9142,0.9242,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3n,25,0.9339,0.0459,4.7581,0.0,0.931,0.9567,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C2,50,0.9077,0.0302,3.4527,0.0,0.9048,0.9312,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3,50,0.9075,0.0303,2.6989,0.0,0.907,0.9115,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3n,50,0.9109,0.0337,3.7045,0.0,0.9082,0.9323,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C2,100,0.8999,0.0143,3.2899,0.0,0.8965,0.9266,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3,100,0.901,0.0235,2.6019,0.0,0.9012,0.8994,0.113,0.902,0.9065,106.0,2698,899
clay.tot,plsr,LUCAS.SSL,22650,C3n,100,0.8962,0.0227,3.2786,0.0,0.894,0.914,0.113,0.902,0.9065,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C0,0,0.9533,0.0001,2.8984,0.0,0.9545,0.9439,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C0n,0,0.8737,0.0001,2.2259,0.0,0.867,0.9259,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C1,0,0.9562,0.0001,2.9702,0.0,0.9575,0.9462,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C0w,0,0.9566,0.0001,2.9702,0.0,0.9579,0.9462,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C2,10,0.9114,0.0951,2.708,0.0,0.9097,0.9245,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C3,10,0.8928,0.1224,2.9244,0.0,0.8944,0.8811,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C3n,10,0.9092,0.0927,3.8319,0.0,0.9039,0.9508,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C2,25,0.9264,0.0527,2.7876,0.0,0.9255,0.9334,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C3,25,0.9214,0.058,2.6631,0.0,0.9193,0.9374,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C3n,25,0.9397,0.0442,3.3843,0.0,0.9363,0.9659,0.113,0.9154,0.9042,106.0,2698,899
clay.tot,hgb,LUCAS.SSL,22650,C2,50,0.891,0.052,2.2157,0.0,0.8881,0.9145,0.113,0.9154,0.9042,106.0,2698,899
