method,k,hucre,kapsama_medyan,ga_alt,ga_ust,kapsama_min,genislik_medyan,sonsuz_oran,kapsama_ici,kapsama_disi
C0,0,42,0.754,0.609,0.82,0.242,1.407,0.0,0.802,0.605
C0w,0,42,0.788,0.723,0.836,0.242,1.64,0.0,0.825,0.7
C0n,0,42,0.802,0.738,0.843,0.279,1.596,0.0,0.824,0.739
C1,0,42,0.823,0.743,0.884,0.27,1.64,0.109,0.861,0.744
C2,10,42,0.902,0.893,0.912,0.829,2.6,0.0,0.912,0.867
C2,25,42,0.923,0.918,0.926,0.882,2.63,0.0,0.931,0.887
C2,50,42,0.9,0.896,0.905,0.874,2.337,0.0,0.912,0.849
C2,100,42,0.902,0.898,0.904,0.881,2.309,0.0,0.913,0.853
C3,10,42,0.898,0.892,0.904,0.853,2.157,0.0,0.914,0.841
C3,25,42,0.922,0.917,0.927,0.884,2.173,0.0,0.938,0.889
C3,50,42,0.902,0.897,0.906,0.877,1.849,0.0,0.918,0.838
C3,100,42,0.904,0.899,0.907,0.891,1.808,0.0,0.919,0.846
C3n,10,42,0.91,0.9,0.915,0.858,2.515,0.0,0.91,0.886
C3n,25,42,0.925,0.92,0.929,0.897,2.269,0.0,0.933,0.908
C3n,50,42,0.903,0.9,0.905,0.88,1.849,0.0,0.905,0.878
C3n,100,42,0.904,0.901,0.906,0.891,1.903,0.0,0.908,0.879
