method,k,hucre,kapsama_medyan,ga_alt,ga_ust,kapsama_min,genislik_medyan,sonsuz_oran,kapsama_ici,kapsama_disi
C0,0,28,0.848,0.656,0.868,0.002,1.396,0.0,0.861,0.71
C0w,0,28,0.879,0.81,0.913,0.004,2.246,0.0,0.914,0.812
C0n,0,28,0.864,0.756,0.884,0.013,1.706,0.0,0.876,0.861
C1,0,28,0.931,0.888,0.988,0.569,2.246,0.227,0.959,0.908
C2,10,28,0.911,0.895,0.921,0.858,2.335,0.0,0.925,0.865
C2,25,28,0.927,0.917,0.931,0.9,2.542,0.0,0.94,0.881
C2,50,28,0.904,0.899,0.91,0.89,2.211,0.0,0.925,0.859
C2,100,28,0.9,0.898,0.907,0.881,2.196,0.0,0.92,0.842
C3,10,28,0.899,0.89,0.92,0.871,2.533,0.0,0.925,0.84
C3,25,28,0.926,0.922,0.931,0.91,2.299,0.0,0.946,0.859
C3,50,28,0.903,0.897,0.908,0.879,2.074,0.0,0.929,0.815
C3,100,28,0.9,0.897,0.906,0.876,1.964,0.0,0.929,0.806
C3n,10,28,0.91,0.903,0.919,0.874,2.649,0.0,0.925,0.863
C3n,25,28,0.929,0.927,0.933,0.9,2.435,0.0,0.938,0.893
C3n,50,28,0.906,0.901,0.91,0.885,2.147,0.0,0.921,0.86
C3n,100,28,0.903,0.899,0.906,0.884,2.021,0.0,0.917,0.857
