prop,model,target,C0,C0w,C1,C1c,C2,C3n,auc,c1_inf,kayip_c0,c1_bilgi
clay.tot,hgb,AFSIS1.SSL,0.2882,0.3886,0.3966,0.3909,0.93,0.9176,0.957,0.0,0.6118,0.0079
clay.tot,hgb,CAF.SSL,0.4507,0.6479,0.7218,0.6138,0.9296,0.9361,0.9943,0.2176,0.4493,0.0739
clay.tot,hgb,GARRETT.SSL,0.2829,0.3157,0.335,0.2946,0.9259,0.9302,0.9787,0.0242,0.6171,0.0194
clay.tot,hgb,ICRAF.ISRIC,0.4125,0.7726,0.777,0.7473,0.9183,0.9171,0.9851,0.0,0.4875,0.0044
clay.tot,hgb,KSSL.SSL,0.7322,0.8577,0.857,0.7939,0.9072,0.9192,0.9687,0.0,0.1678,-0.0007
clay.tot,hgb,SERBIA.SSL,0.7591,0.8758,0.9742,0.8288,0.9176,0.9291,0.9997,0.7291,0.1409,0.0985
clay.tot,plsr,AFSIS1.SSL,0.342,0.4771,0.4812,0.478,0.9262,0.92,0.957,0.0,0.558,0.004
clay.tot,plsr,CAF.SSL,0.5116,0.6907,0.7496,0.6431,0.9121,0.9073,0.9943,0.217,0.3884,0.0589
clay.tot,plsr,GARRETT.SSL,0.2769,0.3182,0.3493,0.2977,0.9308,0.9382,0.9787,0.0276,0.6231,0.0311
clay.tot,plsr,ICRAF.ISRIC,0.3837,0.9149,0.9153,0.8407,0.9133,0.9215,0.9851,0.0,0.5163,0.0005
clay.tot,plsr,KSSL.SSL,0.5841,0.7941,0.7929,0.6826,0.9233,0.9139,0.9687,0.0,0.3159,-0.0012
clay.tot,plsr,SERBIA.SSL,0.7548,0.8448,0.9655,0.8055,0.9073,0.9224,0.9997,0.7288,0.1452,0.1206
n.tot,hgb,AFSIS1.SSL,0.9399,0.8941,0.8999,0.9172,0.932,0.9166,0.9769,0.0,-0.0399,0.0058
n.tot,hgb,AFSIS2.SSL,0.9521,0.9672,0.9696,0.9606,0.9209,0.9294,0.9797,0.2754,-0.0521,0.0024
n.tot,hgb,CAF.SSL,0.863,0.9789,0.9524,0.8895,0.9146,0.9163,0.9984,0.0,0.037,-0.0265
n.tot,hgb,GARRETT.SSL,0.7719,0.8063,0.8166,0.7904,0.9212,0.9063,0.9637,0.0059,0.1281,0.0103
n.tot,hgb,KSSL.SSL,0.4894,0.6452,0.6448,0.5767,0.9314,0.9231,0.9625,0.0,0.4106,-0.0005
n.tot,plsr,AFSIS1.SSL,0.8437,0.9198,0.9237,0.8953,0.9335,0.9352,0.9769,0.0,0.0563,0.0039
n.tot,plsr,AFSIS2.SSL,0.9061,0.9886,0.9902,0.9336,0.918,0.9278,0.9797,0.2741,-0.0061,0.0016
n.tot,plsr,CAF.SSL,0.6287,0.9221,0.9024,0.6837,0.9428,0.9176,0.9984,0.0,0.2713,-0.0197
n.tot,plsr,GARRETT.SSL,0.8266,0.8625,0.8627,0.8371,0.9241,0.9302,0.9637,0.0052,0.0734,0.0002
