prop,model,target,C0,C0w,C1,C1c,C2,C3n,auc,c1_inf,kayip_c0,c1_bilgi
clay.tot,hgb,ICRAF.ISRIC,0.4198,0.6995,0.9976,0.6261,0.9183,0.9098,0.9999,0.9897,0.4802,0.2981
clay.tot,hgb,KSSL.SSL,0.9409,0.9749,0.9766,0.979,0.9411,0.9475,0.9984,0.4593,-0.0409,0.0017
clay.tot,hgb,LUCAS.SSL,0.946,0.9212,0.9207,0.918,0.9051,0.9244,0.9414,0.0,-0.046,-0.0005
clay.tot,hgb,LUCAS.WOODWELL.SSL,0.8433,0.9913,0.9913,0.8982,0.9035,0.8931,0.7695,0.0,0.0567,0.0
clay.tot,plsr,ICRAF.ISRIC,0.1058,0.2335,0.9919,0.1872,0.9223,0.9333,0.9999,0.9897,0.7942,0.7584
clay.tot,plsr,KSSL.SSL,0.9012,0.9695,0.9759,0.9626,0.9191,0.917,0.9984,0.4589,-0.0012,0.0064
clay.tot,plsr,LUCAS.SSL,0.9109,0.8322,0.832,0.842,0.9256,0.9188,0.9414,0.0,-0.0109,-0.0002
clay.tot,plsr,LUCAS.WOODWELL.SSL,0.8701,1.0,1.0,0.9707,0.9249,0.9155,0.7695,0.0,0.0299,0.0
n.tot,hgb,KSSL.SSL,0.6296,0.7816,0.9999,0.7007,0.9245,0.9273,1.0,0.9997,0.2704,0.2183
n.tot,hgb,LUCAS.SSL,0.8564,0.8958,0.8948,0.8966,0.9238,0.9276,0.9857,0.0,0.0436,-0.0011
n.tot,hgb,LUCAS.WOODWELL.SSL,0.9029,0.9001,0.9001,0.8853,0.9215,0.9147,0.8689,0.0,-0.0029,0.0
n.tot,plsr,KSSL.SSL,0.0025,0.0101,0.9998,0.0044,0.9238,0.9208,1.0,0.9997,0.8975,0.9897
n.tot,plsr,LUCAS.SSL,0.4968,0.645,0.6437,0.6411,0.9383,0.919,0.9857,0.0,0.4032,-0.0013
n.tot,plsr,LUCAS.WOODWELL.SSL,0.8795,0.9955,0.9955,0.9283,0.9153,0.9257,0.8689,0.0,0.0205,0.0
oc,hgb,ICRAF.ISRIC,0.746,0.8914,0.8789,0.8393,0.9244,0.9423,0.9943,0.0,0.154,-0.0125
oc,hgb,KSSL.SSL,0.667,0.7391,0.7385,0.741,0.9134,0.9262,0.9899,0.0,0.233,-0.0006
oc,hgb,LUCAS.SSL,0.7144,0.8573,0.8572,0.8612,0.9105,0.9018,0.9868,0.0,0.1856,-0.0001
oc,hgb,LUCAS.WOODWELL.SSL,0.884,0.9595,0.9595,0.9087,0.9158,0.9273,0.8738,0.0,0.016,0.0
oc,plsr,ICRAF.ISRIC,0.3478,0.7326,0.6887,0.5244,0.9269,0.9394,0.9943,0.0,0.5522,-0.0439
oc,plsr,KSSL.SSL,0.7502,0.9084,0.9081,0.8584,0.9178,0.9216,0.9899,0.0,0.1498,-0.0003
oc,plsr,LUCAS.SSL,0.5521,0.7241,0.7235,0.713,0.9205,0.9312,0.9868,0.0,0.3479,-0.0006
oc,plsr,LUCAS.WOODWELL.SSL,0.8889,0.9972,0.9972,0.9161,0.9349,0.9298,0.8738,0.0,0.0111,0.0
ph.h2o,hgb,ICRAF.ISRIC,0.4126,0.5458,0.996,0.4769,0.937,0.915,0.9999,0.9912,0.4874,0.4502
ph.h2o,hgb,LUCAS.SSL,0.8315,0.8639,0.8637,0.8442,0.9234,0.9198,0.9458,0.0,0.0685,-0.0002
ph.h2o,hgb,LUCAS.WOODWELL.SSL,0.8683,0.9995,0.9995,0.9429,0.9142,0.9008,0.8219,0.0,0.0317,0.0
ph.h2o,plsr,ICRAF.ISRIC,0.1672,0.2524,0.9943,0.2144,0.9309,0.9318,0.9999,0.9911,0.7328,0.7419
ph.h2o,plsr,LUCAS.SSL,0.9133,0.892,0.892,0.8988,0.9312,0.9228,0.9458,0.0,-0.0133,0.0
ph.h2o,plsr,LUCAS.WOODWELL.SSL,0.8629,0.9613,0.9613,0.9163,0.9395,0.917,0.8219,0.0,0.0371,0.0
