prop,target,n_target,alpha,method,coverage,width_sd
clay.tot,KSSL.SSL,50007,0.2,C0,0.5635186260183758,1.5209131809882375
clay.tot,KSSL.SSL,50007,0.2,C0n,0.6445282943331264,1.903507310682322
clay.tot,KSSL.SSL,50007,0.2,C4,0.8448505714914827,2.591956553082974
clay.tot,KSSL.SSL,50007,0.2,C2_k25,0.8117541085333387,2.590367842905775
clay.tot,KSSL.SSL,50007,0.2,C4t_k25,0.8212202494144965,2.5542637715909398
clay.tot,KSSL.SSL,50007,0.2,C3n_k25,0.7963508617410973,2.224145489990542
clay.tot,KSSL.SSL,50007,0.2,C2_k50,0.794319114438417,2.566143805938595
clay.tot,KSSL.SSL,50007,0.2,C4t_k50,0.8052735352403066,2.480156616138974
clay.tot,KSSL.SSL,50007,0.2,C3n_k50,0.7810046640110494,1.9298658257811738
clay.tot,KSSL.SSL,50007,0.1,C0,0.7559961566947575,2.2525954634700445
clay.tot,KSSL.SSL,50007,0.1,C0n,0.7989791220449587,2.692767212710276
clay.tot,KSSL.SSL,50007,0.1,C4,0.9397551894629382,3.4050027083114833
clay.tot,KSSL.SSL,50007,0.1,C2_k25,0.9284434613767839,3.7072403199506425
clay.tot,KSSL.SSL,50007,0.1,C4t_k25,0.9308044918630024,3.4003160058775093
clay.tot,KSSL.SSL,50007,0.1,C3n_k25,0.9292641671837781,3.5145058379805336
clay.tot,KSSL.SSL,50007,0.1,C2_k50,0.9025612026342655,3.2515004080193384
clay.tot,KSSL.SSL,50007,0.1,C4t_k50,0.9121404407790701,3.242641323704274
clay.tot,KSSL.SSL,50007,0.1,C3n_k50,0.9012230518245692,2.9831717156322832
clay.tot,KSSL.SSL,50007,0.05,C0,0.8425575995356006,2.727051492295759
clay.tot,KSSL.SSL,50007,0.05,C0n,0.8837490241607782,3.457484583402105
clay.tot,KSSL.SSL,50007,0.05,C4,0.9652451107952841,3.940493884659073
clay.tot,KSSL.SSL,50007,0.05,C2_k25,0.9675731128770744,4.135721160279263
clay.tot,KSSL.SSL,50007,0.05,C4t_k25,0.9471875813199352,3.9220556292906448
clay.tot,KSSL.SSL,50007,0.05,C3n_k25,0.9513541645815401,4.971702953294323
clay.tot,KSSL.SSL,50007,0.05,C2_k50,0.9626368677062274,4.112396516838718
clay.tot,KSSL.SSL,50007,0.05,C4t_k50,0.9602348019296592,3.896863194260992
clay.tot,KSSL.SSL,50007,0.05,C3n_k50,0.9494655403647136,4.084668978023576
clay.tot,ICRAF.ISRIC,3738,0.2,C0,0.2325786334056399,0.5283434341099777
clay.tot,ICRAF.ISRIC,3738,0.2,C0n,0.5026843817787418,1.1256718051247279
