prop,target,n_target,alpha,method,coverage,width_sd
clay.tot,LUCAS.SSL,22650,0.2,C0,0.8878053097345132,2.132180339327506
clay.tot,LUCAS.SSL,22650,0.2,C0n,0.7654690265486724,1.5394284604851995
clay.tot,LUCAS.SSL,22650,0.2,C4,0.8732632743362831,2.295789010454005
clay.tot,LUCAS.SSL,22650,0.2,C2_k25,0.7870199115044249,1.7364942192235822
clay.tot,LUCAS.SSL,22650,0.2,C4t_k25,0.8119535398230088,2.1290894714244213
clay.tot,LUCAS.SSL,22650,0.2,C3n_k25,0.7935553097345134,1.8890739287544929
clay.tot,LUCAS.SSL,22650,0.2,C2_k50,0.7948097345132743,1.655203850062437
clay.tot,LUCAS.SSL,22650,0.2,C4t_k50,0.8177942477876107,2.114846083041301
clay.tot,LUCAS.SSL,22650,0.2,C3n_k50,0.7951924778761061,1.8774726534779647
clay.tot,LUCAS.SSL,22650,0.1,C0,0.9532942477876105,2.898383956117634
clay.tot,LUCAS.SSL,22650,0.1,C0n,0.8736969026548671,2.2256853581712726
clay.tot,LUCAS.SSL,22650,0.1,C4,0.9523982300884954,3.039638101163701
clay.tot,LUCAS.SSL,22650,0.1,C2_k25,0.9264402654867256,2.787602918234918
clay.tot,LUCAS.SSL,22650,0.1,C4t_k25,0.9138141592920354,2.9078497090300064
clay.tot,LUCAS.SSL,22650,0.1,C3n_k25,0.9396969026548673,3.3844623377280048
clay.tot,LUCAS.SSL,22650,0.1,C2_k50,0.8910530973451328,2.2156888296668553
clay.tot,LUCAS.SSL,22650,0.1,C4t_k50,0.9085508849557522,2.8564479169321197
clay.tot,LUCAS.SSL,22650,0.1,C3n_k50,0.9011659292035397,2.6414603044478735
clay.tot,LUCAS.SSL,22650,0.05,C0,0.981617256637168,3.7028353227908677
clay.tot,LUCAS.SSL,22650,0.05,C0n,0.9251946902654868,2.8873761050044657
clay.tot,LUCAS.SSL,22650,0.05,C4,0.9907234513274338,3.989888463841977
clay.tot,LUCAS.SSL,22650,0.05,C2_k25,0.9429225663716816,2.8608695821281867
clay.tot,LUCAS.SSL,22650,0.05,C4t_k25,0.9455309734513273,3.5382921381366685
clay.tot,LUCAS.SSL,22650,0.05,C3n_k25,0.9587853982300885,5.36111718073
clay.tot,LUCAS.SSL,22650,0.05,C2_k50,0.9500663716814159,3.0762762308638023
clay.tot,LUCAS.SSL,22650,0.05,C4t_k50,0.9450088495575223,3.4517976974876374
clay.tot,LUCAS.SSL,22650,0.05,C3n_k50,0.9579203539823009,4.013530204925868
clay.tot,ICRAF.ISRIC,3740,0.2,C0,0.3176558265582655,0.6392116475731807
clay.tot,ICRAF.ISRIC,3740,0.2,C0n,0.5046341463414634,1.1171827996188095
clay.tot,ICRAF.ISRIC,3740,0.2,C4,0.5248644986449864,1.2000328394826072
clay.tot,ICRAF.ISRIC,3740,0.2,C2_k25,0.8285636856368563,2.769723506998287
clay.tot,ICRAF.ISRIC,3740,0.2,C4t_k25,0.8339024390243903,2.8028375910212957
clay.tot,ICRAF.ISRIC,3740,0.2,C3n_k25,0.8191869918699188,2.480433439945082
clay.tot,ICRAF.ISRIC,3740,0.2,C2_k50,0.8222764227642276,2.655643644368036
clay.tot,ICRAF.ISRIC,3740,0.2,C4t_k50,0.8162466124661247,2.682705458329231
clay.tot,ICRAF.ISRIC,3740,0.2,C3n_k50,0.8319241192411923,2.569082720464153
clay.tot,ICRAF.ISRIC,3740,0.1,C0,0.4230352303523035,0.8862812150231799
clay.tot,ICRAF.ISRIC,3740,0.1,C0n,0.6212059620596205,1.4952692014615276
clay.tot,ICRAF.ISRIC,3740,0.1,C4,0.6430081300813009,1.5490429332939082
clay.tot,ICRAF.ISRIC,3740,0.1,C2_k25,0.9091056910569104,3.786103395757269
clay.tot,ICRAF.ISRIC,3740,0.1,C4t_k25,0.9077371273712738,3.733175168820597
clay.tot,ICRAF.ISRIC,3740,0.1,C3n_k25,0.9178726287262873,3.573803966046953
clay.tot,ICRAF.ISRIC,3740,0.1,C2_k50,0.9015718157181573,3.5903729996028826
clay.tot,ICRAF.ISRIC,3740,0.1,C4t_k50,0.895311653116531,3.333025676495283
clay.tot,ICRAF.ISRIC,3740,0.1,C3n_k50,0.8853658536585367,3.0363062055723606
clay.tot,ICRAF.ISRIC,3740,0.05,C0,0.511070460704607,1.1016827408975949
clay.tot,ICRAF.ISRIC,3740,0.05,C0n,0.7132926829268292,1.881423654269634
clay.tot,ICRAF.ISRIC,3740,0.05,C4,0.7179403794037941,1.8217822941326631
clay.tot,ICRAF.ISRIC,3740,0.05,C2_k25,0.9486856368563685,4.947846506515766
clay.tot,ICRAF.ISRIC,3740,0.05,C4t_k25,0.9412330623306232,4.710704160043896
clay.tot,ICRAF.ISRIC,3740,0.05,C3n_k25,0.9607181571815717,4.44822623354957
clay.tot,ICRAF.ISRIC,3740,0.05,C2_k50,0.961680216802168,4.883674651023556
clay.tot,ICRAF.ISRIC,3740,0.05,C4t_k50,0.956029810298103,4.3322583241386
clay.tot,ICRAF.ISRIC,3740,0.05,C3n_k50,0.9504607046070463,4.147328419526346
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C0,0.7402597402597404,0.9279810788234665
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C0n,0.7856215213358071,0.9617303180492159
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C4,0.7844155844155843,1.2423643947964553
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C2_k25,0.7794990723562151,1.0793066566713616
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C4t_k25,0.786456400742115,1.2463679060287045
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C3n_k25,0.7771799628942487,0.9221716939724063
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C2_k50,0.7920222634508349,1.137152060774961
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C4t_k50,0.7949907235621521,1.3027540720556328
clay.tot,LUCAS.WOODWELL.SSL,589,0.2,C3n_k50,0.8054730983302413,1.044992033839641
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C0,0.8688311688311687,1.3331814985406316
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C0n,0.8883116883116882,1.2656215318006185
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C4,0.8761595547309833,1.7325388843443137
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C2_k25,0.8915584415584416,1.4393542177240182
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C4t_k25,0.9159554730983303,1.8833512758847029
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C3n_k25,0.9098330241187382,1.5402108641148382
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C2_k50,0.8833024118738404,1.4168520833523766
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C4t_k50,0.9020408163265307,1.8289212184557424
clay.tot,LUCAS.WOODWELL.SSL,589,0.1,C3n_k50,0.889517625231911,1.3174896126080713
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C0,0.9298701298701297,1.739827770960438
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C0n,0.9441558441558442,1.6282521964402095
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C4,0.9332096474953616,2.2025766291510815
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C2_k25,0.9666975881261596,2.384567275257429
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C4t_k25,0.9679035250463821,2.4665011300168036
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C3n_k25,0.96317254174397,2.1639552994204494
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C2_k50,0.9626159554730982,2.232815030415104
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C4t_k50,0.9694805194805195,2.5304047226260957
clay.tot,LUCAS.WOODWELL.SSL,589,0.05,C3n_k50,0.956864564007421,1.9149029975833223
clay.tot,KSSL.SSL,166,0.2,C0,0.8564655172413793,1.9251851816991183
clay.tot,KSSL.SSL,166,0.2,C0n,0.9375,2.7867483067777905
clay.tot,KSSL.SSL,166,0.2,C4,0.8413793103448276,2.6066403367820685
clay.tot,KSSL.SSL,166,0.2,C2_k25,0.8288793103448275,1.8004075495890062
clay.tot,KSSL.SSL,166,0.2,C4t_k25,0.8125,2.04382805165395
clay.tot,KSSL.SSL,166,0.2,C3n_k25,0.852155172413793,2.1253046921001273
clay.tot,KSSL.SSL,166,0.2,C2_k50,0.8280172413793105,1.8411105189433246
clay.tot,KSSL.SSL,166,0.2,C4t_k50,0.8081896551724137,2.0794976206327194
clay.tot,KSSL.SSL,166,0.2,C3n_k50,0.8258620689655173,1.8963048005328669
clay.tot,KSSL.SSL,166,0.1,C0,0.9301724137931033,2.7540296662619435
clay.tot,KSSL.SSL,166,0.1,C0n,0.9862068965517243,3.779182205936107
clay.tot,KSSL.SSL,166,0.1,C4,0.9271551724137932,3.6535470983419747
clay.tot,KSSL.SSL,166,0.1,C2_k25,0.9168103448275863,2.569535461944552
clay.tot,KSSL.SSL,166,0.1,C4t_k25,0.9155172413793103,3.7402739803778435
clay.tot,KSSL.SSL,166,0.1,C3n_k25,0.9409482758620689,3.132626702063103
clay.tot,KSSL.SSL,166,0.1,C2_k50,0.9159482758620688,2.4147228435494035
clay.tot,KSSL.SSL,166,0.1,C4t_k50,0.8982758620689653,2.9907686619482945
clay.tot,KSSL.SSL,166,0.1,C3n_k50,0.9056034482758621,2.534561335699698
clay.tot,KSSL.SSL,166,0.05,C0,0.9711206896551726,3.68682400806288
clay.tot,KSSL.SSL,166,0.05,C0n,0.9892241379310347,4.755251716557943
clay.tot,KSSL.SSL,166,0.05,C4,0.9823275862068966,4.6064286454504755
clay.tot,KSSL.SSL,166,0.05,C2_k25,0.9650862068965518,3.7196373230225905
clay.tot,KSSL.SSL,166,0.05,C4t_k25,0.9646551724137933,3.8515290731118763
clay.tot,KSSL.SSL,166,0.05,C3n_k25,0.9702586206896553,4.1542138422873744
clay.tot,KSSL.SSL,166,0.05,C2_k50,0.9676724137931034,3.7014489998534374
clay.tot,KSSL.SSL,166,0.05,C4t_k50,0.9689655172413794,3.8527361155466604
clay.tot,KSSL.SSL,166,0.05,C3n_k50,0.9599137931034483,3.7114541074091445
oc,LUCAS.SSL,40175,0.2,C0,0.5407364485981307,0.8984037868432787
oc,LUCAS.SSL,40175,0.2,C0n,0.5767638629283489,0.96410771826026
oc,LUCAS.SSL,40175,0.2,C4,0.8101520249221184,1.3959805137342545
oc,LUCAS.SSL,40175,0.2,C2_k25,0.8325744548286604,1.764780685249121
oc,LUCAS.SSL,40175,0.2,C4t_k25,0.8437109034267912,1.5269120204683269
oc,LUCAS.SSL,40175,0.2,C3n_k25,0.7982504672897196,1.6515164948217795
oc,LUCAS.SSL,40175,0.2,C2_k50,0.8326828660436136,1.7721193706884906
oc,LUCAS.SSL,40175,0.2,C4t_k50,0.8228785046728972,1.4176767677152093
oc,LUCAS.SSL,40175,0.2,C3n_k50,0.8145781931464174,1.6676720113907795
oc,LUCAS.SSL,40175,0.1,C0,0.7051738317757008,1.3022066403490413
