alpha,method,hucre,nominal,kapsama,ga_alt,ga_ust,acik,genislik
0.05,C0,21,0.95,0.843,0.764,0.891,0.107,1.942
0.05,C0n,21,0.95,0.884,0.845,0.912,0.066,1.917
0.05,C4,21,0.95,0.948,0.831,0.966,0.002,2.685
0.05,C2_k25,21,0.95,0.959,0.953,0.964,-0.009,3.228
0.05,C4t_k25,21,0.95,0.961,0.955,0.965,-0.011,3.057
0.05,C3n_k25,21,0.95,0.958,0.952,0.964,-0.008,2.979
0.05,C2_k50,21,0.95,0.956,0.955,0.96,-0.006,3.39
0.05,C4t_k50,21,0.95,0.96,0.957,0.963,-0.01,2.961
0.05,C3n_k50,21,0.95,0.962,0.957,0.964,-0.012,2.854
0.1,C0,21,0.9,0.756,0.615,0.817,0.144,1.441
0.1,C0n,21,0.9,0.799,0.763,0.844,0.101,1.511
0.1,C4,21,0.9,0.885,0.752,0.922,0.015,2.071
0.1,C2_k25,21,0.9,0.928,0.914,0.933,-0.028,2.559
0.1,C4t_k25,21,0.9,0.925,0.919,0.926,-0.025,2.416
0.1,C3n_k25,21,0.9,0.929,0.921,0.937,-0.029,2.357
0.1,C2_k50,21,0.9,0.901,0.894,0.906,-0.001,2.101
0.1,C4t_k50,21,0.9,0.901,0.896,0.91,-0.001,2.232
0.1,C3n_k50,21,0.9,0.905,0.898,0.909,-0.005,1.932
0.2,C0,21,0.8,0.606,0.457,0.666,0.194,0.931
0.2,C0n,21,0.8,0.662,0.569,0.735,0.138,1.081
0.2,C4,21,0.8,0.751,0.62,0.828,0.049,1.383
0.2,C2_k25,21,0.8,0.813,0.81,0.817,-0.013,1.532
0.2,C4t_k25,21,0.8,0.816,0.799,0.821,-0.016,1.557
0.2,C3n_k25,21,0.8,0.808,0.798,0.82,-0.008,1.458
0.2,C2_k50,21,0.8,0.8,0.795,0.81,0.0,1.492
0.2,C4t_k50,21,0.8,0.804,0.796,0.811,-0.004,1.483
0.2,C3n_k50,21,0.8,0.806,0.793,0.817,-0.006,1.415
