alpha,method,hucre,nominal,kapsama,ga_alt,ga_ust,acik,genislik
0.05,C0,14,0.95,0.915,0.783,0.955,0.035,1.675
0.05,C0n,14,0.95,0.906,0.82,0.942,0.044,1.788
0.05,C4,14,0.95,0.956,0.923,0.982,-0.006,2.649
0.05,C2_k25,14,0.95,0.965,0.954,0.97,-0.015,2.996
0.05,C4t_k25,14,0.95,0.962,0.958,0.965,-0.012,2.75
0.05,C3n_k25,14,0.95,0.963,0.961,0.968,-0.013,3.311
0.05,C2_k50,14,0.95,0.961,0.958,0.964,-0.011,2.923
0.05,C4t_k50,14,0.95,0.961,0.959,0.963,-0.011,2.629
0.05,C3n_k50,14,0.95,0.959,0.955,0.966,-0.009,3.133
0.1,C0,14,0.9,0.855,0.658,0.879,0.045,1.302
0.1,C0n,14,0.9,0.837,0.71,0.881,0.063,1.424
0.1,C4,14,0.9,0.887,0.847,0.92,0.013,2.008
0.1,C2_k25,14,0.9,0.922,0.912,0.933,-0.022,2.567
0.1,C4t_k25,14,0.9,0.921,0.916,0.927,-0.021,2.366
0.1,C3n_k25,14,0.9,0.921,0.91,0.938,-0.021,2.393
0.1,C2_k50,14,0.9,0.902,0.897,0.909,-0.002,2.267
0.1,C4t_k50,14,0.9,0.902,0.897,0.907,-0.002,2.043
0.1,C3n_k50,14,0.9,0.899,0.891,0.902,0.001,2.039
0.2,C0,14,0.8,0.723,0.542,0.751,0.077,0.913
0.2,C0n,14,0.8,0.711,0.596,0.769,0.089,1.058
0.2,C4,14,0.8,0.779,0.696,0.81,0.021,1.37
0.2,C2_k25,14,0.8,0.809,0.795,0.822,-0.009,1.691
0.2,C4t_k25,14,0.8,0.814,0.8,0.822,-0.014,1.429
0.2,C3n_k25,14,0.8,0.805,0.799,0.819,-0.005,1.601
0.2,C2_k50,14,0.8,0.804,0.796,0.813,-0.004,1.551
0.2,C4t_k50,14,0.8,0.803,0.796,0.818,-0.003,1.378
0.2,C3n_k50,14,0.8,0.805,0.797,0.814,-0.005,1.518
