prop,model,target,n_target,method,k,coverage,width_sd,cov_source_test,rmse_std_source,rmse_std_target,n_train
clay.tot,cnn,LUCAS.SSL,22650,C0,0,0.9576460176991152,3.1794404578021416,0.8930957683741648,0.5885144226194098,0.7297316410463089,2698
clay.tot,cnn,LUCAS.SSL,22650,C0n,0,0.8106238938053097,2.021032304843815,0.8930957683741648,0.5885144226194098,0.7297316410463089,2698
clay.tot,cnn,LUCAS.SSL,22650,C2,25,0.9278097345132743,2.6333671488048367,0.8930957683741648,0.5885144226194098,0.7297316410463089,2698
clay.tot,cnn,LUCAS.SSL,22650,C3n,25,0.9231415929203541,4.20887429330616,0.8930957683741648,0.5885144226194098,0.7297316410463089,2698
clay.tot,cnn,LUCAS.SSL,22650,C2,50,0.8968274336283187,2.2176694206581176,0.8930957683741648,0.5885144226194098,0.7297316410463089,2698
clay.tot,cnn,LUCAS.SSL,22650,C3n,50,0.8977787610619469,3.623132545821475,0.8930957683741648,0.5885144226194098,0.7297316410463089,2698
clay.tot,cnn,ICRAF.ISRIC,3740,C0,0,0.41265582655826555,0.9395941815804045,0.8965,0.5254985257189259,1.2233826557678014,8000
clay.tot,cnn,ICRAF.ISRIC,3740,C0n,0,0.6192411924119241,1.8168170953003293,0.8965,0.5254985257189259,1.2233826557678014,8000
clay.tot,cnn,ICRAF.ISRIC,3740,C2,25,0.9392682926829268,4.998739820664259,0.8965,0.5254985257189259,1.2233826557678014,8000
clay.tot,cnn,ICRAF.ISRIC,3740,C3n,25,0.9348509485094851,4.230769597716764,0.8965,0.5254985257189259,1.2233826557678014,8000
clay.tot,cnn,ICRAF.ISRIC,3740,C2,50,0.9128997289972899,4.491295744714792,0.8965,0.5254985257189259,1.2233826557678014,8000
clay.tot,cnn,ICRAF.ISRIC,3740,C3n,50,0.8901897018970191,3.4852776476934104,0.8965,0.5254985257189259,1.2233826557678014,8000
clay.tot,cnn,LUCAS.WOODWELL.SSL,589,C0,0,0.8179962894248609,1.3525685034534651,0.8825,0.5536007492152509,0.5630291801431555,8000
clay.tot,cnn,LUCAS.WOODWELL.SSL,589,C0n,0,0.8653061224489795,1.4423456341270295,0.8825,0.5536007492152509,0.5630291801431555,8000
clay.tot,cnn,LUCAS.WOODWELL.SSL,589,C2,25,0.9267161410018552,1.9509882402600738,0.8825,0.5536007492152509,0.5630291801431555,8000
clay.tot,cnn,LUCAS.WOODWELL.SSL,589,C3n,25,0.9189239332096474,1.8005064296177655,0.8825,0.5536007492152509,0.5630291801431555,8000
clay.tot,cnn,LUCAS.WOODWELL.SSL,589,C2,50,0.8857142857142858,1.7960461798463578,0.8825,0.5536007492152509,0.5630291801431555,8000
clay.tot,cnn,LUCAS.WOODWELL.SSL,589,C3n,50,0.9003710575139147,1.5608941180697267,0.8825,0.5536007492152509,0.5630291801431555,8000
clay.tot,cnn,KSSL.SSL,166,C0,0,0.953448275862069,2.879361716529106,0.9075,0.502381087260543,0.8397245030083301,8000
clay.tot,cnn,KSSL.SSL,166,C0n,0,0.9732758620689654,3.7622994566316548,0.9075,0.502381087260543,0.8397245030083301,8000
clay.tot,cnn,KSSL.SSL,166,C2,25,0.9482758620689655,3.268080821478319,0.9075,0.502381087260543,0.8397245030083301,8000
clay.tot,cnn,KSSL.SSL,166,C3n,25,0.9405172413793104,2.7745900032003687,0.9075,0.502381087260543,0.8397245030083301,8000
clay.tot,cnn,KSSL.SSL,166,C2,50,0.9232758620689655,2.6403190562371375,0.9075,0.502381087260543,0.8397245030083301,8000
clay.tot,cnn,KSSL.SSL,166,C3n,50,0.9198275862068966,2.4324758437717007,0.9075,0.502381087260543,0.8397245030083301,8000
oc,cnn,LUCAS.SSL,40175,C0,0,0.8170691588785047,1.3508973601100787,0.8965,0.2512903532489868,0.5431418406950443,8000
oc,cnn,LUCAS.SSL,40175,C0n,0,0.867596261682243,1.4278970398458406,0.8965,0.2512903532489868,0.5431418406950443,8000
oc,cnn,LUCAS.SSL,40175,C2,25,0.9282915887850468,2.351062027692369,0.8965,0.2512903532489868,0.5431418406950443,8000
oc,cnn,LUCAS.SSL,40175,C3n,25,0.8998828660436138,1.8247278502097473,0.8965,0.2512903532489868,0.5431418406950443,8000
oc,cnn,LUCAS.SSL,40175,C2,50,0.9208523364485982,1.94522506194585,0.8965,0.2512903532489868,0.5431418406950443,8000
oc,cnn,LUCAS.SSL,40175,C3n,50,0.9095775700934577,1.6763198758306184,0.8965,0.2512903532489868,0.5431418406950443,8000
oc,cnn,KSSL.SSL,19747,C0,0,0.7864090978321572,0.6643541498318264,0.896,0.3745349152128732,0.32345882180691754,8000
oc,cnn,KSSL.SSL,19747,C0n,0,0.8333147179773569,0.7367765351140871,0.896,0.3745349152128732,0.32345882180691754,8000
oc,cnn,KSSL.SSL,19747,C2,25,0.9183682794334164,1.1054653898868292,0.896,0.3745349152128732,0.32345882180691754,8000
oc,cnn,KSSL.SSL,19747,C3n,25,0.9208711986596944,0.966342974804542,0.896,0.3745349152128732,0.32345882180691754,8000
oc,cnn,KSSL.SSL,19747,C2,50,0.8917957049296847,0.9977243599669925,0.896,0.3745349152128732,0.32345882180691754,8000
oc,cnn,KSSL.SSL,19747,C3n,50,0.8886937097019849,0.8384039417769624,0.896,0.3745349152128732,0.32345882180691754,8000
oc,cnn,ICRAF.ISRIC,3700,C0,0,0.6368493150684931,1.7395389250415887,0.9135,0.2788624902810829,0.99449114334663,8000
oc,cnn,ICRAF.ISRIC,3700,C0n,0,0.564904109589041,1.515178916734234,0.9135,0.2788624902810829,0.99449114334663,8000
oc,cnn,ICRAF.ISRIC,3700,C2,25,0.9023287671232877,3.276985370033182,0.9135,0.2788624902810829,0.99449114334663,8000
oc,cnn,ICRAF.ISRIC,3700,C3n,25,0.9192328767123288,2.673687659036896,0.9135,0.2788624902810829,0.99449114334663,8000
oc,cnn,ICRAF.ISRIC,3700,C2,50,0.8807123287671234,3.0901130778903774,0.9135,0.2788624902810829,0.99449114334663,8000
oc,cnn,ICRAF.ISRIC,3700,C3n,50,0.9157808219178083,2.462419707777868,0.9135,0.2788624902810829,0.99449114334663,8000
oc,cnn,LUCAS.WOODWELL.SSL,589,C0,0,0.8962894248608533,1.190548670132458,0.9065,0.30472475762488654,0.3819639549609526,8000
oc,cnn,LUCAS.WOODWELL.SSL,589,C0n,0,0.9141001855287569,0.9789591559882193,0.9065,0.30472475762488654,0.3819639549609526,8000
oc,cnn,LUCAS.WOODWELL.SSL,589,C2,25,0.9272727272727271,1.4376273354074336,0.9065,0.30472475762488654,0.3819639549609526,8000
oc,cnn,LUCAS.WOODWELL.SSL,589,C3n,25,0.9211502782931354,1.1854255999655379,0.9065,0.30472475762488654,0.3819639549609526,8000
oc,cnn,LUCAS.WOODWELL.SSL,589,C2,50,0.9111317254174397,1.2660114883717244,0.9065,0.30472475762488654,0.3819639549609526,8000
oc,cnn,LUCAS.WOODWELL.SSL,589,C3n,50,0.9217068645640074,1.0670708776146038,0.9065,0.30472475762488654,0.3819639549609526,8000
n.tot,cnn,LUCAS.SSL,40175,C0,0,0.9347140186915889,1.9106891017957293,0.903,0.3143048354428747,0.5109967127617874,8000
n.tot,cnn,LUCAS.SSL,40175,C0n,0,0.936059813084112,1.6267232504503761,0.903,0.3143048354428747,0.5109967127617874,8000
n.tot,cnn,LUCAS.SSL,40175,C2,25,0.9191227414330218,1.8423241353055086,0.903,0.3143048354428747,0.5109967127617874,8000
n.tot,cnn,LUCAS.SSL,40175,C3n,25,0.9160174454828661,1.617560844706925,0.903,0.3143048354428747,0.5109967127617874,8000
n.tot,cnn,LUCAS.SSL,40175,C2,50,0.905983800623053,1.6336071291270247,0.903,0.3143048354428747,0.5109967127617874,8000
n.tot,cnn,LUCAS.SSL,40175,C3n,50,0.8860585669781932,1.3860122613511048,0.903,0.3143048354428747,0.5109967127617874,8000
n.tot,cnn,KSSL.SSL,19806,C0,0,0.633751771613687,0.6522982072243507,0.9,0.40620854735354595,0.5357652487144547,8000
n.tot,cnn,KSSL.SSL,19806,C0n,0,0.5253644462441789,0.5193397829372315,0.9,0.40620854735354595,0.5357652487144547,8000
n.tot,cnn,KSSL.SSL,19806,C2,25,0.9193308362016603,2.1821953928157605,0.9,0.40620854735354595,0.5357652487144547,8000
n.tot,cnn,KSSL.SSL,19806,C3n,25,0.9093591820206521,1.2860313858505048,0.9,0.40620854735354595,0.5357652487144547,8000
n.tot,cnn,KSSL.SSL,19806,C2,50,0.9101184450293582,1.752396334285323,0.9,0.40620854735354595,0.5357652487144547,8000
n.tot,cnn,KSSL.SSL,19806,C3n,50,0.9070611459809678,1.1569870850832475,0.9,0.40620854735354595,0.5357652487144547,8000
n.tot,cnn,LUCAS.WOODWELL.SSL,589,C0,0,0.8972170686456401,1.0950480463387968,0.9015,0.3297382226064905,0.3626541546770314,8000
n.tot,cnn,LUCAS.WOODWELL.SSL,589,C0n,0,0.8922077922077923,0.7714881470653141,0.9015,0.3297382226064905,0.3626541546770314,8000
n.tot,cnn,LUCAS.WOODWELL.SSL,589,C2,25,0.9432282003710574,1.5567412583075293,0.9015,0.3297382226064905,0.3626541546770314,8000
n.tot,cnn,LUCAS.WOODWELL.SSL,589,C3n,25,0.9311688311688311,0.9881437855813358,0.9015,0.3297382226064905,0.3626541546770314,8000
n.tot,cnn,LUCAS.WOODWELL.SSL,589,C2,50,0.9118738404452689,1.1688861060799762,0.9015,0.3297382226064905,0.3626541546770314,8000
n.tot,cnn,LUCAS.WOODWELL.SSL,589,C3n,50,0.8805194805194805,0.8034624416427366,0.9015,0.3297382226064905,0.3626541546770314,8000
ph.h2o,cnn,LUCAS.SSL,40175,C0,0,0.9052585669781932,2.1583223128651237,0.8979591836734694,0.6304258274875665,0.6678672475101607,2650
ph.h2o,cnn,LUCAS.SSL,40175,C0n,0,0.8665794392523363,2.1371061630577977,0.8979591836734694,0.6304258274875665,0.6678672475101607,2650
ph.h2o,cnn,LUCAS.SSL,40175,C2,25,0.933221183800623,2.373625477888364,0.8979591836734694,0.6304258274875665,0.6678672475101607,2650
ph.h2o,cnn,LUCAS.SSL,40175,C3n,25,0.9381308411214953,2.853759521353613,0.8979591836734694,0.6304258274875665,0.6678672475101607,2650
ph.h2o,cnn,LUCAS.SSL,40175,C2,50,0.9019015576323988,2.1435363012887687,0.8979591836734694,0.6304258274875665,0.6678672475101607,2650
ph.h2o,cnn,LUCAS.SSL,40175,C3n,50,0.8865021806853584,2.2331962892639634,0.8979591836734694,0.6304258274875665,0.6678672475101607,2650
ph.h2o,cnn,ICRAF.ISRIC,3776,C0,0,0.5780730005367687,1.2460806498429025,0.8845,0.41100928293486644,0.7726232452353593,8000
ph.h2o,cnn,ICRAF.ISRIC,3776,C0n,0,0.9412775093934516,2.942652499206806,0.8845,0.41100928293486644,0.7726232452353593,8000
ph.h2o,cnn,ICRAF.ISRIC,3776,C2,25,0.9077831454643048,2.540983749298049,0.8845,0.41100928293486644,0.7726232452353593,8000
ph.h2o,cnn,ICRAF.ISRIC,3776,C3n,25,0.9268115942028986,2.694214941472513,0.8845,0.41100928293486644,0.7726232452353593,8000
ph.h2o,cnn,ICRAF.ISRIC,3776,C2,50,0.8988727858293075,2.4495913575996644,0.8845,0.41100928293486644,0.7726232452353593,8000
ph.h2o,cnn,ICRAF.ISRIC,3776,C3n,50,0.9065485775630705,2.5695381217173168,0.8845,0.41100928293486644,0.7726232452353593,8000
ph.h2o,cnn,LUCAS.WOODWELL.SSL,589,C0,0,0.8732838589981446,1.626222705335192,0.908,0.46022419970731704,0.5305406920931572,8000
ph.h2o,cnn,LUCAS.WOODWELL.SSL,589,C0n,0,0.8786641929499073,1.5608762441420463,0.908,0.46022419970731704,0.5305406920931572,8000
ph.h2o,cnn,LUCAS.WOODWELL.SSL,589,C2,25,0.9163265306122449,1.9579305920142698,0.908,0.46022419970731704,0.5305406920931572,8000
