prop,model,target,n_target,method,k,coverage,width_sd,cov_source_test,rmse_std_source,rmse_std_target,n_train
clay.tot,plsr,KSSL.SSL,50007,C0,0,0.672276157495446,2.4309357326053935,0.9221183800623053,0.5366573629622448,1.2961024966896628,3854
clay.tot,plsr,KSSL.SSL,50007,C0n,0,0.7468943291230458,2.8583469643096597,0.9221183800623053,0.5366573629622448,1.2961024966896628,3854
clay.tot,plsr,KSSL.SSL,50007,C2,25,0.9201032888283924,4.764056726407977,0.9221183800623053,0.5366573629622448,1.2961024966896628,3854
clay.tot,plsr,KSSL.SSL,50007,C3n,25,0.9278479492363434,4.099783737217966,0.9221183800623053,0.5366573629622448,1.2961024966896628,3854
clay.tot,plsr,KSSL.SSL,50007,C2,50,0.8988990531857397,4.029679221641201,0.9221183800623053,0.5366573629622448,1.2961024966896628,3854
clay.tot,plsr,KSSL.SSL,50007,C3n,50,0.8900834717857358,3.1050805671576267,0.9221183800623053,0.5366573629622448,1.2961024966896628,3854
clay.tot,hgb,KSSL.SSL,50007,C0,0,0.7171767720239406,2.169802230311222,0.9205607476635514,0.48403065728533623,1.0109294001608358,3854
clay.tot,hgb,KSSL.SSL,50007,C0n,0,0.7466761414816743,2.554131382226256,0.9205607476635514,0.48403065728533623,1.0109294001608358,3854
clay.tot,hgb,KSSL.SSL,50007,C2,25,0.9300718618011489,3.8904385483553545,0.9205607476635514,0.48403065728533623,1.0109294001608358,3854
clay.tot,hgb,KSSL.SSL,50007,C3n,25,0.9052965550373321,3.9195269551589735,0.9205607476635514,0.48403065728533623,1.0109294001608358,3854
clay.tot,hgb,KSSL.SSL,50007,C2,50,0.8971615589406889,3.1340737705194366,0.9205607476635514,0.48403065728533623,1.0109294001608358,3854
clay.tot,hgb,KSSL.SSL,50007,C3n,50,0.8950917789298798,3.25823427197058,0.9205607476635514,0.48403065728533623,1.0109294001608358,3854
clay.tot,plsr,ICRAF.ISRIC,3738,C0,0,0.4511117136659436,0.8924817939575279,0.897,0.4227984970231246,0.6823027262102607,8000
clay.tot,plsr,ICRAF.ISRIC,3738,C0n,0,0.7702006507592191,2.024658443770882,0.897,0.4227984970231246,0.6823027262102607,8000
clay.tot,plsr,ICRAF.ISRIC,3738,C2,25,0.8992950108459871,2.2126843698296277,0.897,0.4227984970231246,0.6823027262102607,8000
clay.tot,plsr,ICRAF.ISRIC,3738,C3n,25,0.9177603036876356,2.716132027242813,0.897,0.4227984970231246,0.6823027262102607,8000
clay.tot,plsr,ICRAF.ISRIC,3738,C2,50,0.8678687635574838,2.0319501079490587,0.897,0.4227984970231246,0.6823027262102607,8000
clay.tot,plsr,ICRAF.ISRIC,3738,C3n,50,0.9104934924078091,2.3196836769043157,0.897,0.4227984970231246,0.6823027262102607,8000
clay.tot,hgb,ICRAF.ISRIC,3738,C0,0,0.4789859002169198,0.8804439976606352,0.896,0.3996695687525431,0.6536878532780941,8000
