model,method,k,cells,coverage,ci_low,ci_high,worst,width
hgb,C0,0,21,0.754,0.638,0.83,0.279,1.495
plsr,C0,0,21,0.751,0.593,0.822,0.261,1.378
hgb,C0n,0,21,0.804,0.748,0.865,0.304,1.709
plsr,C0n,0,21,0.788,0.757,0.839,0.266,1.723
hgb,C2,25,21,0.922,0.917,0.93,0.893,2.543
plsr,C2,25,21,0.923,0.916,0.927,0.894,2.762
hgb,C2,50,21,0.897,0.892,0.905,0.864,2.234
plsr,C2,50,21,0.901,0.895,0.911,0.868,2.58
hgb,C3n,25,21,0.918,0.906,0.922,0.883,2.386
plsr,C3n,25,21,0.923,0.918,0.928,0.879,2.33
hgb,C3n,50,21,0.896,0.894,0.906,0.855,2.078
plsr,C3n,50,21,0.904,0.901,0.907,0.861,2.082
