model,method,k,cells,coverage,ci_low,ci_high,worst,width
hgb,C0,0,14,0.834,0.678,0.873,0.408,1.347
plsr,C0,0,14,0.754,0.344,0.881,0.006,1.511
hgb,C0n,0,14,0.881,0.792,0.9,0.629,1.737
plsr,C0n,0,14,0.777,0.422,0.874,0.045,1.876
hgb,C2,25,14,0.919,0.913,0.935,0.89,2.439
plsr,C2,25,14,0.922,0.918,0.925,0.906,2.976
hgb,C2,50,14,0.9,0.893,0.907,0.87,2.246
plsr,C2,50,14,0.902,0.899,0.909,0.876,2.965
hgb,C3n,25,14,0.932,0.91,0.938,0.858,2.322
plsr,C3n,25,14,0.924,0.915,0.931,0.9,2.067
hgb,C3n,50,14,0.904,0.895,0.907,0.856,2.057
plsr,C3n,50,14,0.904,0.896,0.913,0.883,1.867
